Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Connor McDavid,EDM,C,80,64,87,151,22,36,340,11,21,48,4,3,89,39
David Pastrnak,BOS,RW,80,60,49,109,35,38,396,12,18,17,0,0,90,33
Mikko Rantanen,COL,RW,79,54,48,102,14,80,297,9,12,24,0,0,77,41
Leon Draisaitl,EDM,C,78,51,73,124,6,24,244,11,31,29,1,1,64,40
Brayden Point,TB,C,80,49,42,91,0,7,223,9,19,10,0,0,33,36
Tage Thompson,BUF,RW,76,46,47,93,7,37,284,7,19,14,1,0,54,25
Jason Robertson,DAL,LW,80,46,60,106,36,20,306,7,13,26,0,0,56,19
Jack Hughes,NJ,C,76,42,54,96,9,6,329,6,9,22,0,0,11,30
Alex Ovechkin,WAS,LW,72,42,32,74,-14,48,290,3,14,11,0,0,187,23
Mark Scheifele,WPG,C,80,41,26,67,-17,43,203,9,12,10,0,0,49,38
Carter Verhaeghe,FLA,C,80,41,31,72,13,46,273,2,7,6,0,0,29,30
Jared McCann,SEA,C,77,40,30,70,20,14,205,3,7,9,3,0,62,27
Auston Matthews,TOR,C,73,40,45,85,31,20,324,8,13,15,0,0,78,91
Matthew Tkachuk,FLA,LW,78,40,68,108,30,111,319,6,14,22,0,1,67,31
Timo Meier,NJ,LW,76,40,25,65,-18,43,324,5,17,6,0,0,149,36
Kirill Kaprizov,MIN,LW,66,39,35,74,6,35,253,6,16,15,0,0,65,28
Mika Zibanejad,NYR,C,81,39,51,90,25,20,248,5,20,18,1,1,71,48
Nathan MacKinnon,COL,C,68,39,68,107,27,30,350,8,12,22,0,0,53,39
Andrei Kuzmenko,VAN,LW,79,38,33,71,8,8,141,4,13,4,0,0,13,18
Adrian Kempe,LA,C,81,38,25,63,22,55,241,5,9,9,3,0,119,32
Bo Horvat,NYI,C,78,38,32,70,0,18,225,5,12,10,4,1,57,55
William Nylander,TOR,C,80,38,45,83,9,26,282,5,8,18,0,0,18,26
Tim Stutzle,OTT,LW,77,38,50,88,-2,54,227,3,9,18,3,0,113,49
Elias Pettersson,VAN,C,78,38,61,99,15,14,251,6,6,18,5,4,71,86
Clayton Keller,ARI,C,81,37,48,85,-3,47,220,4,6,14,1,0,17,33
Jordan Kyrou,STL,RW,77,37,35,72,-37,20,263,5,11,12,0,1,14,34
Ryan Nugent-Hopkins,EDM,LW,80,37,66,103,12,35,197,3,15,37,1,3,46,26
Zach Hyman,EDM,RW,77,36,47,83,13,39,267,3,15,11,0,0,76,19
John Tavares,TOR,C,79,36,43,79,-6,34,274,9,18,20,0,0,110,36
Chris Kreider,NYR,LW,78,36,18,54,23,26,228,3,8,9,4,0,127,24
Roope Hintz,DAL,LW,71,36,38,74,31,30,179,4,8,12,3,0,44,43
Sebastian Aho,CAR,LW,73,35,30,65,6,42,215,9,7,8,3,1,58,19
Jake Guentzel,PIT,LW,76,35,37,72,4,46,240,6,10,12,0,0,82,46
Alex Tuch,BUF,RW,71,35,40,75,14,20,205,8,8,11,1,0,50,45
Brady Tkachuk,OTT,LW,81,35,47,82,-9,126,341,6,11,18,0,0,238,9
Brock Nelson,NYI,C,81,34,39,73,12,24,218,7,6,11,0,0,50,41
Tyler Toffoli,CGY,RW,81,34,39,73,16,28,261,4,10,15,0,0,59,14
Claude Giroux,OTT,C,81,34,44,78,4,34,212,6,7,17,0,1,75,29
Sidney Crosby,PIT,C,80,33,58,91,10,52,246,9,9,16,0,0,71,47
Steven Stamkos,TB,C,79,33,50,83,-7,46,234,6,13,22,0,0,88,51
Jamie Benn,DAL,C,80,33,42,75,21,34,186,4,13,16,2,1,96,38
Jeff Skinner,BUF,LW,76,33,42,75,14,29,233,3,8,12,0,0,21,14
Dylan Larkin,DET,C,79,32,47,79,-4,45,241,5,16,15,1,0,47,26
Kyle Connor,WPG,LW,80,32,49,81,-11,20,270,9,8,21,0,0,42,22
Jesper Bratt,NJ,LW,80,32,39,71,14,6,205,3,8,14,0,0,23,23
Nico Hischier,NJ,C,79,31,46,77,33,10,251,9,7,12,3,1,31,60
Dylan Cozens,BUF,C,78,31,36,67,-1,41,205,1,5,13,2,1,55,29
Matthew Boldy,MIN,LW,80,31,32,63,2,39,252,5,8,18,0,0,62,26
Sam Reinhart,FLA,RW,81,31,35,66,-11,10,224,5,16,11,0,3,56,49
Mitchell Marner,TOR,RW,79,30,69,99,18,28,195,4,9,27,4,1,53,45
J.T. Miller,VAN,C,79,30,48,78,-8,60,218,2,10,18,5,4,196,50
Nikita Kucherov,TB,RW,80,30,80,110,-3,34,258,4,8,40,0,0,59,28
Travis Konecny,PHI,C,58,29,27,56,-15,75,181,5,5,9,3,3,54,36
Brandon Hagel,TB,LW,79,29,33,62,21,52,173,3,7,6,1,2,66,57
Martin Necas,CAR,C,80,28,43,71,5,32,236,5,9,17,0,1,54,20
Artemi Panarin,NYR,LW,81,28,63,91,3,36,201,4,8,27,0,0,25,11
Rickard Rakell,PIT,C,80,28,30,58,-1,16,233,2,11,8,0,0,138,53
Anders Lee,NYI,C,81,27,22,49,-3,48,212,4,5,8,0,0,124,56
Jonathan Marchessault,VGK,LW,74,27,29,56,2,21,228,4,8,7,0,0,75,17
Jason Zucker,PIT,LW,76,27,21,48,0,47,192,5,2,7,0,0,197,29
Logan Couture,SJ,C,80,27,40,67,-26,19,191,4,5,15,1,0,128,69
Anze Kopitar,LA,C,81,27,45,72,20,4,167,4,7,13,0,1,68,86
Patrice Bergeron,BOS,C,76,27,30,57,33,22,245,7,9,9,2,0,65,52
Joe Pavelski,DAL,RW,80,27,49,76,41,8,181,2,13,14,0,1,91,64
Jack Eichel,VGK,C,66,27,38,65,25,4,221,2,2,12,0,0,58,55
Alex DeBrincat,OTT,RW,81,27,39,66,-31,45,261,6,11,19,0,0,109,37
Pierre-Luc Dubois,WPG,C,72,27,35,62,4,77,205,1,11,12,0,0,71,45
Dawson Mercer,NJ,C,80,27,28,55,22,14,158,6,2,7,1,1,35,62
Cole Caufield,MON,RW,46,26,10,36,-10,2,158,3,7,3,0,0,18,12
Victor Olofsson,BUF,LW,73,26,12,38,-26,4,155,5,7,5,0,0,16,15
Viktor Arvidsson,LA,LW,76,26,30,56,-5,24,222,2,10,13,1,0,25,48
Pavel Buchnevich,STL,LW,61,26,41,67,14,36,121,2,8,13,0,2,54,21
Evgeni Malkin,PIT,C,80,26,56,82,-7,82,233,3,10,25,0,0,52,33
Boone Jenner,CLS,LW,68,26,19,45,-32,51,214,3,7,4,0,0,129,70
Alex Killorn,TB,C,80,26,36,62,15,41,139,4,4,9,1,1,58,30
Erik Karlsson,SJ,D,80,25,75,100,-21,34,205,4,5,21,0,0,33,87
Jake DeBrusk,BOS,LW,62,25,23,48,25,14,185,6,6,8,0,1,85,22
Lawson Crouse,ARI,LW,76,24,21,45,-2,35,147,3,6,2,0,0,189,58
David Perron,DET,RW,80,24,31,55,-5,52,193,3,6,16,0,0,104,23
Nino Niederreiter,WPG,RW,76,24,16,40,-12,20,178,2,4,3,0,0,160,30
Nazem Kadri,CGY,C,81,24,31,55,-20,56,265,4,11,8,0,0,99,31
Reilly Smith,VGK,RW,76,24,28,52,9,16,174,4,6,4,4,0,69,31
Nick Suzuki,MON,C,80,24,40,64,-12,33,157,2,7,10,2,0,48,52
Owen Tippett,PHI,RW,75,24,21,45,-17,16,224,3,7,3,0,0,121,66
Matty Beniers,SEA,C,78,24,33,57,16,2,146,4,4,6,0,1,77,47
Gabriel Vilardi,LA,C,63,23,18,41,10,18,122,6,5,4,0,0,41,33
Andrei Svechnikov,CAR,RW,64,23,32,55,6,71,205,4,5,11,0,0,140,17
Dylan Strome,WAS,C,79,23,40,63,-4,24,153,2,3,17,0,0,20,40
Michael Bunting,TOR,LW,80,23,26,49,23,96,171,4,7,3,0,0,82,17
Kevin Fiala,LA,LW,69,23,49,72,2,52,208,2,7,17,0,0,53,18
Joel Eriksson Ek,MIN,C,78,23,38,61,4,44,247,1,12,11,2,1,119,55
Troy Terry,ANH,C,68,22,36,58,-8,22,181,3,5,7,0,0,12,22
Patrik Laine,CLS,RW,55,22,30,52,-12,16,184,1,8,8,0,0,27,27
Frank Vatrano,ANH,LW,79,22,19,41,-28,66,225,1,5,4,0,0,84,74
Vincent Trocheck,NYR,C,81,22,41,63,2,58,223,3,9,8,0,0,182,44
Adam Henrique,ANH,C,60,22,15,37,-7,22,129,1,4,6,0,0,28,45
Tomas Hertl,SJ,LW,77,22,40,62,-32,40,177,1,6,15,0,0,91,57
Aleksander Barkov,FLA,C,67,22,55,77,12,8,203,6,8,22,1,1,51,48
Elias Lindholm,CGY,RW,79,22,42,64,6,14,185,2,10,11,1,2,97,50
Matt Duchene,NSH,C,71,22,34,56,4,32,168,3,5,8,0,0,27,32
Mats Zuccarello,MIN,RW,77,22,45,67,-1,26,195,3,9,20,0,0,51,51
Drake Batherson,OTT,RW,81,22,39,61,-35,33,249,2,14,14,0,0,115,35
